"y" "roach1" "treatment" "senior" "exposure2"
15 0.1 1 0 1
0 0.1023 1 0 0.571428571428571
2 0 0 0 0.8
4 0.13 1 0 0.857142857142857
6 0.01 1 0 0.8
8 0.3325 1 0 0.857142857142857
0 0 0 0 2.28571428571429
0 0.53 0 0 0.8
0 0.05 1 0 1
18 1.57 1 0 0.857142857142857
38 0.2333 1 0 1
0 0.06 1 0 1.02857142857143
2 0.1 1 0 0.6
18 1 1 0 0.857142857142857
34 0.55 1 0 1
1 0 1 0 0.8
109 0.1625 1 0 1
5 0.0778 1 0 1.48571428571429
15 0.53 1 0 1
0 0.02 1 0 1
64 0.73 1 0 1
0 0 1 0 0.8
1 0 1 0 0.8
0 0 1 0 1
1 0.0318 1 0 1
3 0.05 0 0 0.857142857142857
5 0.03 0 0 0.8
7 0 0 0 1
18 0.1 0 0 0.8
1 0.01 0 0 1
0 0 1 0 1
0 0.01 1 0 0.8
3 0.12 1 0 1
3 0.17 1 0 1
0 0.16 1 0 1
19 0.025 1 0 1.42857142857143
0 0 1 0 1.71428571428571
8 0.2188 1 0 0.771428571428571
26 1.73 1 0 0.8
50 1.11 1 0 1
15 0.35 1 0 1.85714285714286
0 0 1 0 1
19 0.03 1 0 1
5 0.021 1 0 1
17 0 1 0 1
121 0.49 1 0 1
1 0.0125 1 0 1
0 0.01 1 0 0.8
0 0.01 1 0 1
0 0 1 0 1
0 0 1 0 2.28571428571429
4 0.54 1 0 0.8
1 0.042 1 0 1.42857142857143
14 0.5125 1 0 1.02857142857143
1 0.3 1 0 1.71428571428571
25 1.96 0 0 1.14285714285714
0 0 0 0 1.14285714285714
14 0.02 0 0 1
0 0.015 0 0 1
59 0.9625 0 0 1.14285714285714
243 2.415 0 0 0.8
80 1.4 0 0 1.42857142857143
69 0.18 0 0 0.914285714285714
14 0.03 0 0 1.14285714285714
9 0.0054 0 0 1.28571428571429
38 0.82 0 0 0.6
37 0.19 0 0 1
48 0.1875 0 0 0.8
293 0.51 0 0 1.14285714285714
7 0 0 0 1
10 0.01 0 0 1.42857142857143
19 0 0 0 1
24 0.0544 0 0 1
91 0 0 0 1
1 0.03 0 1 1
0 0 0 1 1
0 0 0 1 1
0 0 0 1 1
0 0 0 1 1
148 0.2875 0 1 1.14285714285714
3 0 0 1 0.857142857142857
26 0.03 0 1 1
12 0.02 0 1 1
77 1.35 0 1 1
0 0 0 1 1
7 0.6825 0 1 1
0 0.01 0 1 1
1 0 0 1 1
0 0 0 1 0.6
17 0 0 1 1.02857142857143
0 0.01 0 1 1
7 0.01 0 1 1
11 0.025 0 1 0.685714285714286
6 0.5125 0 1 0.8
50 0.1313 0 1 1
1 0 0 1 0.8
0 0 0 1 1.48571428571429
0 0 0 1 1
0 0 0 1 1
171 0 0 1 1
8 0 0 1 1
